"Units","scenario","year","market","value"
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"COairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"CTCO2 removal",0.0012999
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"CTairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"DCCO2 removal",0.153815
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"DCairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"DECO2 removal",0.00170179
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"DEairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"FLCO2 removal",0.00199347
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"FLairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"GACO2 removal",0.0019596
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"GAairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"HICO2 removal",0.287024
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"HIairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"IACO2 removal",0.00191325
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"IAairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"IDCO2 removal",0.00221083
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"IDairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"ILCO2 removal",0.0018424
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"ILairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"INCO2 removal",0.00186979
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"INairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"KSCO2 removal",0.00222871
